What could have happened before they chose?	events whose start time is smaller than the start time of they chose? </s>	events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chose? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose? or whose start time is larger than the end time of they chose?	Events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chosen?	events whose start time is smaller than the start time of they chose? ; and events whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chosen? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, whose start time is larger than the end time of they chose?
What happened while Albright hung the poster?	events whose start time is larger than the start time of Albright hung the poster? and whose start time is smaller than the end time of Albright hung the poster? </s>	events whose start time is larger than the start time of Albright hung the poster? and whose start time is smaller than the end time of Albright hung the poster?	events whose start time is larger than the start time of Albright hung the poster?	activities whose start time is larger than the start time of Albright hung the poster? and whose start time is smaller than the end time of Albright hung the poster?	Events whose start time is larger than the start time of Albright hung the poster? and whose start time is smaller than the end time of Albright hung the poster?	events whose start time is larger than the start time of Albright hung the poster?, and whose start time is smaller than the end time of Albright hung the poster?	actions whose start time is larger than the start time of Albright hung the poster? and whose start time is smaller than the end time of Albright hung the poster?	events whose start time is larger than the start time of Albright hung the poster? ; and events whose start time is smaller than the end time of Albright hung the poster?	events whose start time is larger than the start time of Albright hung the poster?, and whose start time is smaller than the end time of Albright hung the poster?	events whose start time is larger than the start time of Albright hung the poster? and whose start time is smaller than the end time of Albright hung the poster?.	events whose start time is larger than the start time of Albright hung the poster?and whose start time is smaller than the end time of Albright hung the poster?
What happened while the reward was made?	events whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward was made? </s>	events whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward was made?	events whose start time is larger than the start time of the reward was made?	activities whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward was made?	Events whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward was made?	events whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward?	actions whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward was made?	event whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward was made?	events whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward is made?	events whose start time is larger than the start time of the reward were made? and whose start time is smaller than the end time of the reward was made?	events whose start time is larger than the start time of the reward was made? and whose start time is smaller than the end time of the reward were made?
What happened while EISB was planned?	events whose start time is larger than the start time of EISB was planned? and whose start time is smaller than the end time of EISB was planned? </s>	events whose start time is larger than the start time of EISB was planned? and whose start time is smaller than the end time of EISB was planned?	events whose start time is larger than the start time of EISB was planned?	Events whose start time is larger than the start time of EISB was planned? and whose start time is smaller than the end time of EISB was planned?	activities whose start time is larger than the start time of EISB was planned? and whose start time is smaller than the end time of EISB was planned?	events whose start time is larger than the start time of the EISB was planned? and whose start time is smaller than the end time of the EISB was planned?	events whose start time is larger than the start time of EISB was planned?, and whose start time is smaller than the end time of EISB was planned?	event whose start time is larger than the start time of EISB was planned? and whose start time is smaller than the end time of EISB was planned?	événements whose start time is larger than the start time of EISB was planned? and whose start time is smaller than the end time of EISB was planned?	events whose start time is larger than the start time of EISB was planned?, and whose start time is smaller than the end time of EISB was planned?	events whose start time is larger than the start time of EISB was planned? ; and events whose start time is smaller than the end time of EISB was planned?
What happened while the banks opened?	events whose start time is larger than the start time of the banks opened? and whose start time is smaller than the end time of the banks opened? </s>	events whose start time is larger than the start time of the banks opened? and whose start time is smaller than the end time of the banks opened?	activities whose start time is larger than the start time of the banks opened? and whose start time is smaller than the end time of the banks opened?	events whose start time is larger than the start time of the banks opened?	Events whose start time is larger than the start time of the banks opened? and whose start time is smaller than the end time of the banks opened?	events whose start time is larger than the start time of the banks open? and whose start time is smaller than the end time of the banks opened?	events whose start time is larger than the start time of the banks opened? and whose start time is smaller than the end time of the banks open?	events whose start time is larger than the start time of the bank opened? and whose start time is smaller than the end time of the banks opened?	events whose start time is larger than the start time of the banks opened? and whose start time is smaller than the end time of the banks closed?	events whose start time is larger than the start time of the banks closed? and whose start time is smaller than the end time of the banks opened?	things whose start time is larger than the start time of the banks opened? and whose start time is smaller than the end time of the banks opened?
What happened while the banks were taken advantage of?	events whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of? </s>	events whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of?	activities whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of?	events whose start time is larger than the start time of the banks were taken advantage of?	Events whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of?	actions whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of?	things whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of?	events whose start time is larger than the start time of the banks were taken advantage of?, and whose start time is smaller than the end time of the banks were taken advantage of?	événements whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of?	events whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks was taken advantage of?	what events whose start time is larger than the start time of the banks were taken advantage of? and whose start time is smaller than the end time of the banks were taken advantage of?
What event ended before after he came?	events whose end time is smaller than the start time of after he came? </s>	events whose end time is smaller than the start time of after he came?	events whose start time is smaller than the start time of after he came?	events whose end time is smaller than the start time of after after he came?	events whose start time is smaller than the start time of after after he came?	events whose end time is smaller than the end time of after he came?	events whose end time is smaller than the start time of before after he came?	events whose end time is smaller than the beginning time of after he came?	Events whose end time is smaller than the start time of after he came?	event whose end time is smaller than the start time of after he came?	events whose ends are smaller than the start time of after he came?
What event ended before Jorge Mas Santos said something?	events whose end time is smaller than the start time of Jorge Mas Santos said something? </s>	events whose end time is smaller than the start time of Jorge Mas Santos said something?	events whose start time is smaller than the start time of Jorge Mas Santos said something?	Events whose end time is smaller than the start time of Jorge Mas Santos said something?	events whose end time is smaller than the end time of Jorge Mas Santos said something?	events whose end time is smaller than the start time of Jorge Mas Santos spoke something?	events whose start time was smaller than the start time of Jorge Mas Santos said something?	events whose end time was smaller than the start time of Jorge Mas Santos said something?	Events whose start time is smaller than the start time of Jorge Mas Santos said something?	events whose start time is smaller than the start time of Jorge Mas Santos spoke something?	events whose end time is smaller than the start time of Jorge Mas Santos said some?
What ended before Jaafari expressed hopes for a peaceful election?	events whose end time is smaller than the start time of Jaafari expressed hopes for a peaceful election? </s>	events whose start time is smaller than the start time of Jaafari expressed hopes for a peaceful election?	events whose start time is smaller than the start time of Jaafari expressed hope for a peaceful election?	events whose end time is smaller than the start time of Jaafari expressed hopes for a peaceful election?	Events whose start time is smaller than the start time of Jaafari expressed hopes for a peaceful election?	events whose start time is smaller than the start time of Jaafari expressed hopes for a peaceful elections?	events whose start time is smaller than the start time of Jafari expressed hopes for a peaceful election?	events whose start time is smaller than the start time of Jaafari expressed hopes for a peaceful electoral?	events whose start time was smaller than the start time of Jaafari expressed hopes for a peaceful election?	events whose start time is smaller than the start time of Ja afari expressed hopes for a peaceful election?	events whose start time is smaller than the start time of Ja'fari expressed hopes for a peaceful election?
What finished during 106 days?	events whose end time is larger than the start time of 106 days? and whose end time is smaller than the end time of 106 days? </s>	events whose start time is larger than the start time of 106 days? and whose start time is smaller than the end time of 106 days?	events whose start time is smaller than the start time of 106 days? and whose start time is larger than the end time of 106 days?	activities whose start time is larger than the start time of 106 days? and whose start time is smaller than the end time of 106 days?	things whose start time is larger than the start time of 106 days? and whose start time is smaller than the end time of 106 days?	events whose start time is larger than the start time of 106 days?	Events whose start time is larger than the start time of 106 days? and whose start time is smaller than the end time of 106 days?	whose start time is larger than the start time of 106 days? and whose start time is smaller than the end time of 106 days?	events whose end time is larger than the start time of 106 days? and whose start time is smaller than the end time of 106 days?	events whose start time is larger than the start time of 106 days? or whose start time is smaller than the end time of 106 days?	events whose start time is larger than the start time of 106 days? whose start time is smaller than the end time of 106 days?
What happened while NASA engineers asked Thomas Reiter something?	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something? </s>	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something?	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something?	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something?, and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something?	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? ; and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something?	Events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something?	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? or whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something?	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something??	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something?.	activities whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter something?	events whose start time is larger than the start time of NASA engineers asked Thomas Reiter something? and whose start time is smaller than the end time of NASA engineers asked Thomas Reiter some?
What happened while the government had a need?	events whose start time is larger than the start time of the government had a need? and whose start time is smaller than the end time of the government had a need? </s>	events whose start time is larger than the start time of the government had a need? and whose start time is smaller than the end time of the government had a need?	events whose start time is larger than the start time of the government had a need?	activities whose start time is larger than the start time of the government had a need? and whose start time is smaller than the end time of the government had a need?	Events whose start time is larger than the start time of the government had a need? and whose start time is smaller than the end time of the government had a need?	events whose start time is larger than the start time of the government had a need?, and whose start time is smaller than the end time of the government had a need?	actions whose start time is larger than the start time of the government had a need? and whose start time is smaller than the end time of the government had a need?	things whose start time is larger than the start time of the government had a need? and whose start time is smaller than the end time of the government had a need?	event whose start time is larger than the start time of the government had a need? and whose start time is smaller than the end time of the government had a need?	events whose start time is larger than the start time of the government had a need?and whose start time is smaller than the end time of the government had a need?	events whose start time is larger than the start time of the government's need? and whose start time is smaller than the end time of the government's need?
What happened while the admission papers were accepted?	events whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted? </s>	events whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted?	events whose start time is larger than the start time of the admission papers were accepted?	activities whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted?	Events whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted?	event whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted?	événements whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted?	actions whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted?	things whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admission papers were accepted?	events whose start time is larger than the start time of the Admission papers were accepted? and whose start time is smaller than the end time of the Admission papers were accepted?	events whose start time is larger than the start time of the admission papers were accepted? and whose start time is smaller than the end time of the admit papers were accepted?
What happened while the candy bars were both top sellers?	events whose start time is larger than the start time of the candy bars were both top sellers? and whose start time is smaller than the end time of the candy bars were both top sellers? </s>	events whose start time is larger than the start time of the candy bars were both top sellers? and whose start time is smaller than the end time of the candy bars were both top sellers?	events whose start time is larger than the start time of the candy bars were both top sellers?	activities whose start time is larger than the start time of the candy bars were both top sellers? and whose start time is smaller than the end time of the candy bars were both top sellers?	events whose start time is larger than the start time of the candy bar were both top sellers? and whose start time is smaller than the end time of the candy bar were both top sellers?	events whose start time is larger than the start time of the candy bars were both top sellers? and whose start time is smaller than the end time of the candy bar were both top sellers?	events whose start time is larger than the start time of the candy bars were both Top Sellers? and whose start time is smaller than the end time of the candy bars were both Top Sellers?	Events whose start time is larger than the start time of the candy bars were both top sellers? and whose start time is smaller than the end time of the candy bars were both top sellers?	events whose start time is larger than the start time of the candy bars were both top sellers?, and whose start time is smaller than the end time of the candy bars were both top sellers?	events whose start time is larger than the start time of the candy bars were both top sellers? and whose start time is smaller than the end time of the candy bars were both Top Sellers?	events whose start time is larger than the start time of the Candy Bars were both Top Sellers? and whose start time is smaller than the end time of the Candy Bars were both Top Sellers?
What will end before the rugby World Cup?	events whose end time is smaller than the start time of the rugby World Cup? </s>	events whose start time is smaller than the start time of the rugby World Cup?	events whose end time is smaller than the start time of the rugby World Cup?	events whose start time is smaller than the start time of the rugby world cup?	events whose start time is smaller than the start time of the rugby World Cup? and whose start time is larger than the end time of the rugby World Cup?	events whose start time is smaller than the start time of the Rugby World Cup?	events whose start time is smaller than the start time of the rugby world cup? and whose start time is larger than the end time of the rugby world cup?	events whose end time is smaller than the start time of the rugby World Cup? and whose start time is larger than the end time of the rugby World Cup?	events whose start time is smaller than the start time of the rugby World Cup?, and whose start time is larger than the end time of the rugby World Cup?	events whose end time is smaller than the end time of the rugby World Cup?	events whose start time is smaller than the start time of the Rugby World Cup? and whose start time is larger than the end time of the rugby World Cup?
What happened while Shaheen was the most favored candidate?	events whose start time is larger than the start time of Shaheen was the most favored candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate? </s>	events whose start time is larger than the start time of Shaheen was the most favored candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate?	events whose start time is larger than the start time of Shaheen was the most favored candidate?	activities whose start time is larger than the start time of Shaheen was the most favored candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate?	events whose start time is larger than the start time of Shaheen was the most-favored candidate? and whose start time is smaller than the end time of Shaheen was the most-favored candidate?	Events whose start time is larger than the start time of Shaheen was the most favored candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate?	events whose start time is larger than the start time of Shaheen was the most favoured candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate?	events whose start time is larger than the start time of Shaheen was the most preferred candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate?	events whose start time is larger than the start time of Shaheen was the most favoured candidate? and whose start time is smaller than the end time of Shaheen was the most favoured candidate?	events whose start time is larger than the start time of Shaheen was the most-favored candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate?	things whose start time is larger than the start time of Shaheen was the most favored candidate? and whose start time is smaller than the end time of Shaheen was the most favored candidate?
What event ended before talks began?	events whose end time is smaller than the start time of talks began? </s>	events whose end time is smaller than the start time of talks began?	events whose start time is smaller than the start time of talks began?	events whose end time is smaller than the start time of talks began? and whose start time is larger than the end time of talks began?	events whose end time is smaller than the start time of talks began? and whose end time is larger than the start time of talks began?	events whose start time is smaller than the start time of talks began? and whose start time is larger than the end time of talks began?	events whose end time is smaller than the start time of talks started?	events whose end time is smaller than the start time of talks began?, whose start time is larger than the end time of talks began?	events whose end time is smaller than the start time of talks began?, whose end time is larger than the start time of talks began?	events whose end time is smaller than the start time of talks began? and whose start time is larger than the end time of talks begun?	events whose end time is smaller than the start time of talks began?, and whose start time is larger than the end time of talks began?
What event ended before the first atomic test?	events whose end time is smaller than the start time of the first atomic test? </s>	events whose end time is smaller than the start time of the first atomic test?	events whose start time is smaller than the start time of the first atomic test?	events whose start time is smaller than the start time of the first atomic test? and whose start time is larger than the end time of the first atomic test?	events whose end time is smaller than the start time of the first atomic test? and whose end time is larger than the start time of the first atomic test?	events whose end time is smaller than the start time of the first atomic test? and whose start time is larger than the end time of the first atomic test?	events whose end time is smaller than the end time of the first atomic test?	events whose end time is smaller than the start time of the first atomic test?, and whose end time is larger than the start time of the first atomic test?	events whose end time is smaller than the end time of the first atomic test? and whose end time is larger than the start time of the first atomic test?	events whose start time is smaller than the start time of the first atomic test?, and whose start time is larger than the end time of the first atomic test?	events whose end time is smaller than the start time of the first atomic test? and whose end time is larger than the end time of the first atomic test?
What happened while SunTech Medical operated in the booming market?	events whose start time is larger than the start time of SunTech Medical operated in the booming market? and whose start time is smaller than the end time of SunTech Medical operated in the booming market? </s>	events whose start time is larger than the start time of SunTech Medical operated in the booming market? and whose start time is smaller than the end time of SunTech Medical operated in the booming market?	events whose start time is larger than the start time of Suntech Medical operated in the booming market? and whose start time is smaller than the end time of SunTech Medical operated in the booming market?	activities whose start time is larger than the start time of SunTech Medical operated in the booming market? and whose start time is smaller than the end time of SunTech Medical operated in the booming market?	events whose start time is larger than the start time of SunTech Medical operated in the booming market? and whose start time is smaller than the end time of Suntech Medical operated in the booming market?	Events whose start time is larger than the start time of SunTech Medical operated in the booming market? and whose start time is smaller than the end time of SunTech Medical operated in the booming market?	events whose start time is larger than the start time of SunTech Medical operated in the thriving market? and whose start time is smaller than the end time of SunTech Medical operated in the booming market?	events whose start time is larger than the start time of SunTech Medical operated in the booming market?	events whose start time is larger than the start time of the SunTech Medical operated in the booming market? and whose start time is smaller than the end time of the SunTech Medical operated in the booming market?	events whose start time is larger than the start time of SunTech Medical operated in the booming market? and whose start time is smaller than the end time of SunTech Medical operated in the thriving market?	events whose start time is larger than the start time of SunTech Medical operated in the booming market? and whose start time is smaller than the end time of Sun Tech Medical operated in the booming market?
What ended before a press conference?	events whose end time is smaller than the start time of a press conference? </s>	events whose start time is smaller than the start time of a press conference?	Events whose start time is smaller than the start time of a press conference?	events whose start time is smaller than the start time of the press conference?	events whose start time is smaller than the start time of an a press conference?	events whose end time is smaller than the start time of a press conference?	things whose start time is smaller than the start time of a press conference?	events whose start time was smaller than the start time of a press conference?	activities whose start time is smaller than the start time of a press conference?	events whose start time is smaller than the start time of a press conferment?	whose start time is smaller than the start time of a press conference?
What happened while the GDP was foreseen?	events whose start time is larger than the start time of the GDP was foreseen? and whose start time is smaller than the end time of the GDP was foreseen? </s>	events whose start time is larger than the start time of the GDP was foreseen? and whose start time is smaller than the end time of the GDP was foreseen?	events whose start time is larger than the start time of the GDP was foresee? and whose start time is smaller than the end time of the GDP was foreseen?	events whose start time is larger than the start time of the GDP was foreseen?	activities whose start time is larger than the start time of the GDP was foreseen? and whose start time is smaller than the end time of the GDP was foreseen?	Events whose start time is larger than the start time of the GDP was foreseen? and whose start time is smaller than the end time of the GDP was foreseen?	events whose start time is larger than the start time of the GDP was foresaw? and whose start time is smaller than the end time of the GDP was foreseen?	events whose start time is larger than the start time of the GDP was foresee? and whose start time is smaller than the end time of the GDP was foresee?	events whose start time is larger than the start time of the GDP was forseen? and whose start time is smaller than the end time of the GDP was forseen?	things whose start time is larger than the start time of the GDP was foreseen? and whose start time is smaller than the end time of the GDP was foreseen?	events whose start time is larger than the start time of the GDP was foreseen? or whose start time is smaller than the end time of the GDP was foreseen?
What happened while he condemned the bombings?	events whose start time is larger than the start time of he condemned the bombings? and whose start time is smaller than the end time of he condemned the bombings? </s>	events whose start time is larger than the start time of he condemned the bombings? and whose start time is smaller than the end time of he condemned the bombings?	events whose start time is larger than the start time of he condemned the bombings?	activities whose start time is larger than the start time of he condemned the bombings? and whose start time is smaller than the end time of he condemned the bombings?	events whose start time is larger than the start time of he condemned the bombing? and whose start time is smaller than the end time of he condemned the bombings?	events whose start time is larger than the start time of he condemned the bombings? and whose start time is smaller than the end time of he condemn the bombings?	events whose start time is larger than the start time of 'he condemned the bombings'? and whose start time is smaller than the end time of 'he condemned the bombings'?	Events whose start time is larger than the start time of he condemned the bombings? and whose start time is smaller than the end time of he condemned the bombings?	events whose start time is larger than the start time of he condemn the bombings? and whose start time is smaller than the end time of he condemned the bombings?	events whose start time is larger than the start time of he condemned the bombings? ; and events whose start time is smaller than the end time of he condemned the bombings?	events whose start time is larger than the start time of he condemned the bombings? and whose start time is smaller than the end time of he condemned the bombing?
What ended before Glenn McGrath was passed fit to play?	events whose end time is smaller than the start time of Glenn McGrath was passed fit to play? </s>	events whose start time is smaller than the start time of Glenn McGrath was passed fit to play?	events whose start time is smaller than the start time of Glenn McGrath was passed fit for play?	Events whose start time is smaller than the start time of Glenn McGrath was passed fit to play?	events whose end time is smaller than the start time of Glenn McGrath was passed fit to play?	events whose start time is smaller than the start time of Glenn McGrath was pass fit to play?	events whose start time was smaller than the start time of Glenn McGrath was passed fit to play?	events whose start time is smaller than the start time of Glenn Mcgrath was passed fit to play?	events whose starts time is smaller than the start time of Glenn McGrath was passed fit to play?	events whose start time is smaller than the start time of Glenn McGrath being passed fit to play?	events whose start time is smaller than the start time of Glenn McGrath was passed fit?
What happened while McGrath was passed fit to play?	events whose start time is larger than the start time of McGrath was passed fit to play? and whose start time is smaller than the end time of McGrath was passed fit to play? </s>	events whose start time is larger than the start time of McGrath was passed fit to play? and whose start time is smaller than the end time of McGrath was passed fit to play?	events whose start time is larger than the start time of McGrath was passed fit to play?	activities whose start time is larger than the start time of McGrath was passed fit to play? and whose start time is smaller than the end time of McGrath was passed fit to play?	Events whose start time is larger than the start time of McGrath was passed fit to play? and whose start time is smaller than the end time of McGrath was passed fit to play?	events whose start time is larger than the start time of McGrath was pass fit to play? and whose start time is smaller than the end time of McGrath was passed fit to play?	actions whose start time is larger than the start time of McGrath was passed fit to play? and whose start time is smaller than the end time of McGrath was passed fit to play?	events whose start time is larger than the start time of Mcgrath was passed fit to play? and whose start time is smaller than the end time of McGrath was passed fit to play?	events whose start time is larger than the start time of McGrath was passed fit to play? and whose start time is smaller than the end time of McGrath was pass fit to play?	events whose start time is larger than the start time of McGrath was passed fit for play? and whose start time is smaller than the end time of McGrath was passed fit for play?	events whose start time is larger than the start time of McGrath was passed fit to play?, and whose start time is smaller than the end time of McGrath was passed fit to play?
What happened while there was concern over a heel injury?	events whose start time is larger than the start time of there was concern over a heel injury? and whose start time is smaller than the end time of there was concern over a heel injury? </s>	events whose start time is larger than the start time of there was concern over a heel injury?	events whose start time is larger than the start time of there was concern over a heel injury? and whose start time is smaller than the end time of there was concern over a heel injury?	events whose start time is larger than the start time of there was concern over a heel injury? and whose start time is smaller than the end time of there were concern over a heel injury?	events whose start time is larger than the start time of there were concern over a heel injury? and whose start time is smaller than the end time of there was concern over a heel injury?	events whose start time is larger than the start time of there were concerns over a heel injury? and whose start time is smaller than the end time of there was concern over a heel injury?	activities whose start time is larger than the start time of there was concern over a heel injury? and whose start time is smaller than the end time of there was concern over a heel injury?	events whose start time is larger than the start time of there was concern over a heel injury?, and whose start time is smaller than the end time of there was concern over a heel injury?	Events whose start time is larger than the start time of there was concern over a heel injury? and whose start time is smaller than the end time of there was concern over a heel injury?	events whose start time is larger than the start time of there were concern over a heel injury? and whose start time is smaller than the end time of there were concern over a heel injury?	events whose start time is larger than the start time of there was concern over a heel injury? and whose start time is smaller than the end time of there was concern over an heel injury?
What ended after the US State Department designated the CCP-NPA as a terrorist organization?	events whose end time is larger than the start time of the US State Department designated the CCP-NPA as a terrorist organization? </s>	events whose start time is larger than the start time of the US State Department designated the CCP-NPA as a terrorist organization?	events whose start time is larger than the start time of the U.S. State Department designated the CCP-NPA as a terrorist organization?	events whose start time is larger than the start time of the US State Department designated the CCP-NPA as a terrorist organisation?	events whose start time is larger than the start time of the United States State Department designated the CCP-NPA as a terrorist organization?	events whose start time is larger than the start time of US State Department designated the CCP-NPA as a terrorist organization?	events whose start time is larger than the start time of the U.S. State Department designated the CCP-NPA as a terrorist organisation?	events whose start time is larger than the start time of the U.S State Department designated the CCP-NPA as a terrorist organization?	events whose start time is larger than the start time of U.S. State Department designated the CCP-NPA as a terrorist organization?	events whose start time is larger than the start time of the US State Department designated the CCP-NPA as a terrorist group?	events whose start time is larger than the start time of the US state department designated the CCP-NPA as a terrorist organization?
What ended before the US State Department designated the CCP-NPA as a terrorist organization?	events whose end time is smaller than the start time of the US State Department designated the CCP-NPA as a terrorist organization? </s>	events whose start time is smaller than the start time of the US State Department designated the CCP-NPA as a terrorist organization?	events whose start time is smaller than the start time of the U.S. State Department designated the CCP-NPA as a terrorist organization?	events whose start time is smaller than the start time of the US State Department designated the CCP-NPA as a terrorist organisation?	events whose start time is smaller than the start time of US State Department designated the CCP-NPA as a terrorist organization?	events whose start time is smaller than the start time of the United States State Department designated the CCP-NPA as a terrorist organization?	events whose start time is smaller than the start time of the U.S State Department designated the CCP-NPA as a terrorist organization?	events whose start time is smaller than the start time of the U.S. State Department designated the CCP-NPA as a terrorist organisation?	events whose start time is smaller than the start time of U.S. State Department designated the CCP-NPA as a terrorist organization?	events whose start time is smaller than the start time of US State Department designated the CCP-NPA as a terrorist organisation?	events whose start time is smaller than the start time of the US state department designated the CCP-NPA as a terrorist organization?
What happened while the prisoners were trudging through the desert?	events whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoners were trudging through the desert? </s>	events whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoners were trudging through the desert?	activities whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoners were trudging through the desert?	events whose start time is larger than the start time of the prisoners were trudging through the desert?	events whose start time is larger than the start time of the prisoner were trudging through the desert? and whose start time is smaller than the end time of the prisoner were trudging through the desert?	events whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoners were trudging through the desert?	events whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoner's trudging through the desert?	events whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoner were trudging through the desert?	Events whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoners were trudging through the desert?	events whose start time is larger than the start time of the prisoner were trudging through the desert? and whose start time is smaller than the end time of the prisoner was trudging through the desert?	events whose start time is larger than the start time of the prisoners were trudging through the desert? and whose start time is smaller than the end time of the prisoners were trudging through the desert?
What event ended before the assault began?	events whose end time is smaller than the start time of the assault began? </s>	events whose end time is smaller than the start time of the assault began?	events whose start time is smaller than the start time of the assault began?	events whose end time is smaller than the start time of the assault began? and whose start time is larger than the end time of the assault began?	events whose end time is smaller than the start time of the assault started?	events whose end time is smaller than the start time of the assault began? and whose end time is larger than the start time of the assault began?	events whose start time is smaller than the start time of the assault began? and whose start time is larger than the end time of the assault began?	events whose end time is smaller than the start time of the assault started? and whose start time is larger than the end time of the assault began?	events whose end time is smaller than the start time of the assault began? and whose start time is larger than the end time of the assault started?	events whose end time is smaller than the start time of the attack began?	events whose end time is smaller than the start time of the assault started? and whose end time is larger than the start time of the assault began?
